Type,Row Labels,Balloon,Fishing,Hard Plastic,Other,Soft Plastic,Black,Blue,Brown,Clear,Green,Grey,Orange,Red,White,Yellow,Species,Scientific Name,Family,Order,Habitat,Feeding
Bird,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,120,0,0,18,0,1,0,3,1,3,0,0,0,0,12,0,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,226,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,301,0,0,3,1,0,0,0,3,0,0,0,0,1,0,0,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,309,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding
Bird,310,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding
Bird,315,0,0,0,19,1,0,15,0,3,0,0,0,0,2,0,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding
Bird,223,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,Bullers Albatross,Thalassarche bulleri,Diomedeiadae,Procellariiformes,Pelagic,Surface feeding
Bird,225,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,253,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,259,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,262,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,271,0,0,3,0,0,0,0,0,0,0,0,0, ,3,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,280,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,291,0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding
